Model,Degem,Grain Size
Clemex_256_Predictions,10,13.944444444444445
Clemex_256_Predictions,10,14.0
Clemex_256_Predictions,10,14.055555555555555
Clemex_256_Predictions,10,14.117647058823529
Clemex_256_Predictions,10,14.125
Clemex_256_Predictions,10,14.166666666666666
Clemex_256_Predictions,10,14.2
Clemex_256_Predictions,10,14.235294117647058
Clemex_256_Predictions,10,14.235294117647058
Clemex_256_Predictions,10,14.285714285714286
Clemex_256_Predictions,10,14.294117647058824
Clemex_256_Predictions,10,14.352941176470589
Clemex_256_Predictions,10,14.4
Clemex_256_Predictions,10,14.416666666666666
Clemex_256_Predictions,10,14.466666666666667
Clemex_256_Predictions,10,14.470588235294118
Clemex_256_Predictions,10,14.470588235294118
Clemex_256_Predictions,10,14.470588235294118
Clemex_256_Predictions,10,14.5
Clemex_256_Predictions,10,14.533333333333333
Clemex_256_Predictions,10,14.538461538461538
Clemex_256_Predictions,10,14.571428571428571
Clemex_256_Predictions,10,14.6
Clemex_256_Predictions,10,14.615384615384615
Clemex_256_Predictions,10,14.625
Clemex_256_Predictions,10,14.625
Clemex_256_Predictions,10,14.625
Clemex_256_Predictions,10,14.6875
Clemex_256_Predictions,10,14.714285714285714
Clemex_256_Predictions,10,14.866666666666667
Clemex_256_Predictions,10,14.882352941176471
Clemex_256_Predictions,10,14.923076923076923
Clemex_256_Predictions,10,14.928571428571429
Clemex_256_Predictions,10,14.933333333333334
Clemex_256_Predictions,10,15.0
Clemex_256_Predictions,10,15.076923076923077
Clemex_256_Predictions,10,15.083333333333334
Clemex_256_Predictions,10,15.133333333333333
Clemex_256_Predictions,10,15.23076923076923
Clemex_256_Predictions,10,15.266666666666667
Clemex_256_Predictions,10,15.357142857142858
Clemex_256_Predictions,10,15.416666666666666
Clemex_256_Predictions,10,15.416666666666666
Clemex_256_Predictions,10,15.454545454545455
Clemex_256_Predictions,10,15.461538461538462
Clemex_256_Predictions,10,15.5
Clemex_256_Predictions,10,15.533333333333333
Clemex_256_Predictions,10,15.571428571428571
Clemex_256_Predictions,10,15.6
Clemex_256_Predictions,10,15.714285714285714
Clemex_256_Predictions,10,15.8
Clemex_256_Predictions,10,15.857142857142858
Clemex_256_Predictions,10,15.866666666666667
Clemex_256_Predictions,10,15.923076923076923
Clemex_256_Predictions,10,15.933333333333334
Clemex_256_Predictions,10,16.0
Clemex_256_Predictions,10,16.076923076923077
Clemex_256_Predictions,10,16.083333333333332
Clemex_256_Predictions,10,16.133333333333333
Clemex_256_Predictions,10,16.133333333333333
Clemex_256_Predictions,10,16.133333333333333
Clemex_256_Predictions,10,16.142857142857142
Clemex_256_Predictions,10,16.357142857142858
Clemex_256_Predictions,10,16.428571428571427
Clemex_256_Predictions,10,16.46153846153846
Clemex_256_Predictions,10,16.533333333333335
Clemex_256_Predictions,10,16.53846153846154
Clemex_256_Predictions,10,16.53846153846154
Clemex_256_Predictions,10,16.53846153846154
Clemex_256_Predictions,10,16.6
Clemex_256_Predictions,10,16.642857142857142
Clemex_256_Predictions,10,16.666666666666668
Clemex_256_Predictions,10,16.818181818181817
Clemex_256_Predictions,10,16.857142857142858
Clemex_256_Predictions,10,16.866666666666667
Clemex_256_Predictions,10,16.916666666666668
Clemex_256_Predictions,10,16.923076923076923
Clemex_256_Predictions,10,16.928571428571427
Clemex_256_Predictions,10,16.933333333333334
Clemex_256_Predictions,10,17.0
Clemex_256_Predictions,10,17.076923076923077
Clemex_256_Predictions,10,17.083333333333332
Clemex_256_Predictions,10,17.09090909090909
Clemex_256_Predictions,10,17.142857142857142
