Model,Degem,Grain Size
MLOgraphy++_Predictions,10,13.642857142857142
MLOgraphy++_Predictions,10,13.647058823529411
MLOgraphy++_Predictions,10,13.714285714285714
MLOgraphy++_Predictions,10,13.714285714285714
MLOgraphy++_Predictions,10,13.75
MLOgraphy++_Predictions,10,13.764705882352942
MLOgraphy++_Predictions,10,13.785714285714286
MLOgraphy++_Predictions,10,13.823529411764707
MLOgraphy++_Predictions,10,13.866666666666667
MLOgraphy++_Predictions,10,13.923076923076923
MLOgraphy++_Predictions,10,13.928571428571429
MLOgraphy++_Predictions,10,13.941176470588236
MLOgraphy++_Predictions,10,13.944444444444445
MLOgraphy++_Predictions,10,14
MLOgraphy++_Predictions,10,14.055555555555555
MLOgraphy++_Predictions,10,14.117647058823529
MLOgraphy++_Predictions,10,14.125
MLOgraphy++_Predictions,10,14.166666666666666
MLOgraphy++_Predictions,10,14.2
MLOgraphy++_Predictions,10,14.235294117647058
MLOgraphy++_Predictions,10,14.235294117647058
MLOgraphy++_Predictions,10,14.285714285714286
MLOgraphy++_Predictions,10,14.294117647058824
MLOgraphy++_Predictions,10,14.352941176470589
MLOgraphy++_Predictions,10,14.4
MLOgraphy++_Predictions,10,14.416666666666666
MLOgraphy++_Predictions,10,14.466666666666667
MLOgraphy++_Predictions,10,14.470588235294118
MLOgraphy++_Predictions,10,14.470588235294118
MLOgraphy++_Predictions,10,14.470588235294118
MLOgraphy++_Predictions,10,14.5
MLOgraphy++_Predictions,10,14.533333333333333
MLOgraphy++_Predictions,10,14.538461538461538
MLOgraphy++_Predictions,10,14.571428571428571
MLOgraphy++_Predictions,10,14.6
MLOgraphy++_Predictions,10,14.615384615384615
MLOgraphy++_Predictions,10,14.625
MLOgraphy++_Predictions,10,14.625
MLOgraphy++_Predictions,10,14.625
MLOgraphy++_Predictions,10,14.6875
MLOgraphy++_Predictions,10,14.714285714285714
MLOgraphy++_Predictions,10,14.866666666666667
MLOgraphy++_Predictions,10,14.882352941176471
MLOgraphy++_Predictions,10,14.923076923076923
MLOgraphy++_Predictions,10,14.928571428571429
MLOgraphy++_Predictions,10,14.933333333333334
MLOgraphy++_Predictions,10,15
MLOgraphy++_Predictions,10,15.076923076923077
MLOgraphy++_Predictions,10,15.083333333333334
MLOgraphy++_Predictions,10,15.133333333333333
MLOgraphy++_Predictions,10,15.23076923076923
MLOgraphy++_Predictions,10,15.266666666666667
MLOgraphy++_Predictions,10,15.357142857142858
MLOgraphy++_Predictions,10,15.416666666666666
MLOgraphy++_Predictions,10,15.416666666666666
MLOgraphy++_Predictions,10,15.454545454545455
MLOgraphy++_Predictions,10,15.461538461538462
MLOgraphy++_Predictions,10,15.5
MLOgraphy++_Predictions,10,15.533333333333333
MLOgraphy++_Predictions,10,15.571428571428571
MLOgraphy++_Predictions,10,15.6
MLOgraphy++_Predictions,10,15.714285714285714
MLOgraphy++_Predictions,10,15.8
MLOgraphy++_Predictions,10,15.857142857142858
MLOgraphy++_Predictions,10,15.866666666666667
MLOgraphy++_Predictions,10,15.923076923076923
MLOgraphy++_Predictions,10,15.933333333333334
MLOgraphy++_Predictions,10,16
MLOgraphy++_Predictions,10,16.076923076923077
MLOgraphy++_Predictions,10,16.083333333333332
MLOgraphy++_Predictions,10,16.133333333333333
MLOgraphy++_Predictions,10,16.133333333333333
MLOgraphy++_Predictions,10,16.133333333333333
MLOgraphy++_Predictions,10,16.142857142857142
MLOgraphy++_Predictions,10,16.357142857142858
MLOgraphy++_Predictions,10,16.428571428571427
MLOgraphy++_Predictions,10,16.46153846153846
MLOgraphy++_Predictions,10,16.533333333333335
MLOgraphy++_Predictions,10,16.53846153846154
MLOgraphy++_Predictions,10,16.53846153846154
MLOgraphy++_Predictions,10,16.53846153846154
MLOgraphy++_Predictions,10,16.6
MLOgraphy++_Predictions,10,16.642857142857142
MLOgraphy++_Predictions,10,16.666666666666668
MLOgraphy++_Predictions,10,16.818181818181817
MLOgraphy++_Predictions,10,16.857142857142858
MLOgraphy++_Predictions,10,16.866666666666667
MLOgraphy++_Predictions,10,16.916666666666668
MLOgraphy++_Predictions,10,16.923076923076923
MLOgraphy++_Predictions,10,16.928571428571427
MLOgraphy++_Predictions,10,16.933333333333334
MLOgraphy++_Predictions,10,17
MLOgraphy++_Predictions,10,17.076923076923077
MLOgraphy++_Predictions,10,17.083333333333332
MLOgraphy++_Predictions,10,17.09090909090909
MLOgraphy++_Predictions,10,17.142857142857142
MLOgraphy++_Predictions,10,17.23076923076923
